airplane,0.95
ant,0.9625
axe,0.9625
barn,0.95
bed,0.95
bee,0.8875
beer-mug,1.0
bench,0.9625
bicycle,0.9875
binoculars,0.9875
book,0.9625
brain,0.9125
bridge,0.9
bush,0.925
butterfly,0.95
cabinet,0.9625
car_sedan,0.95
chair,0.975
church,1.0
computer_monitor,0.9875
dolphin,0.95
door,0.9625
dragon,0.9
duck,0.975
face,0.925
fish,0.95
floor_lamp,0.95
flower_with_stem,0.9625
guitar,0.9875
hammer,0.9625
hand,0.925
hat,0.9125
head,0.9375
helicopter,1.0
horse,1.0
hourglass,1.0
house,0.975
human-skeleton,0.975
ice-cream-cone,0.9625
knife,0.9625
ladder,1.0
mailbox,0.95
microscope,1.0
piano,0.975
pickup_truck,0.9625
pig,0.975
potted_plant,0.9875
rabbit,0.9875
race_car,0.875
satellite,0.8875
satellite_dish,0.9375
screwdriver,0.9125
sea_turtle,0.925
shark,0.9125
ship,0.9875
shoe,0.9625
shovel,0.975
skateboard,0.975
skull,0.975
skyscraper,1.0
snake,0.9625
snowman,0.9875
space_shuttle,0.975
spider,0.9375
standing_bird,0.8875
submarine,0.95
sword,0.95
table,0.9875
tablelamp,0.925
tent,0.9875
tire,0.925
train,0.975
tree,0.975
truck,0.9375
umbrella,1.0
wheel,0.975
wine-bottle,0.975
wineglass,0.9625
wrist-watch,0.95
